,text,hope_hate,emotion_label
13,أَسْتَطِيعُ أَنْ أَخْبِرَكَ أَنَّنِي أَشْعُرُ بِالْحَرِّ وَالرُّكُودِ فِي هَذِهِ الْحَرَارَةِ وَالرُّطُوبَةِ الشَّدِيدَةِ فِي الشَّمَالِ الشَّرْقِيِّ، وَأَشْعُرُ حَقًّا أَنَّ حَجْرَ الزَّاوِيَةِ الَّذِي يُدْعَمُ الْخُطْبَاءَ مُتَعَدِّدِ الْوَسَائِلِ هُوَ عُنْصُرُ التَّصْمِيمِ الَّذِي أَشْعُرُ بِالاِمْتِنَانِ لِشَعُورِي بِالْحُبِّ.,not_applicable,Other
14,أَشْعُرُ أَنَّ كُلَّ شَيْءٍ شَعَرَ بِالاندِفَاعِ,not_applicable,Other
15,",أَجْعَلُ نَفْسِي أَعْتَقِدُ أَنَّ الرَّجُلَ لَا يُحِبُّنِي فَحَسْبُ، بَلْ إِنَّهُ يُحِبُّنِي كَثِيْرًا لِدَرَجَةٍ أَنَّهُ يَخْشَى التَّحْدِيثُ مَعِي وَيَشْعُرُ بِالْخَوْفِ مِنِّي",not_applicable,Joy
16,أَفْهَمُ تَمَامًا صُعُوبَةَ هَذِهِ اللَّحْظَةِ بِالنِّسْبَةِ لَكَ، وَأَنَا هُنَا لِأَكُونَ بِجَانِبِكَ.,hope_speech,Joy
17,", أشعر كما لو أنني لن أجد أبدًا أي شخص آخر أضغط عليه بالطريقة التي فعلنا بها، أشعر أنها المرأة الوحيدة التي ستتصرف في الواقع كما لو كانت تريدني وأخشى أنها المرأة الوحيدة التي سأحصل عليها على الإطلاق.",not_applicable,Joy
18,أَشْعُرُ وَكَأَنَّنَا فِي بَيْئَةٍ مُعَادِيَةٍ، قَالَتْ دِنْلُوبُ وَهِيَ تَجْلِسُ فِي غُرْفَةٍ مُعَيَّشَتِهَا، أَنَا مُتَأَكِّدَةٌ إِلَى حَدٍّ مَا أَنَّ جُزْءًا مِنَ السَّبَبِ الَّذِي يَجْعَلُنِي أَخْتَارُ الْإِطَارَاتِ الْفَظِيعَةَ دَائِمًا هُوَ أَنَّنِي أَشْعُرُ بِالْانِدِفَاعِ الشَّدِيدِ وَأَشْعُرُ بِالضَّجَرِ وَالْغَضَبِ وَأَنَا أَتَخَلَّصُ مِنْ ذَلِكَ عَلَى حِسَابِي الشَّرِيكِ الَّذِي نَادَرًا مَا أَفْعَلُهُ,not_applicable,Disgust
19,سَمَحْتُ لَهُ بِكِتَابَةِ رَسَالَتِهِ النَّصِيَّةِ الصَّغِيرَةِ وَبَدَأْتُ أَشْعُرُ بِالانْزِعَاجِ بَالطَّبَعِ,not_applicable,Other
20,. أَشْعُرُ بِالسَّعَادَةِ وَالإِيجَابِيَّةِ مَرَّةً أُخْرَى، وَمِنْ نَاحِيَةٍ أُخْرَى، أَصْبَحَتْ أَمْعَائِي فِي حَالَةٍ مِنَ الْفَوْضَى الْمُتَذَمِّرَةِ مَرَّةً أُخْرَى، وَأَلَمُ الظَّهْرِ وَالْوَرَكِ يَزْحَفُ بِبُطْءٍ مَرَّةً أُخْرَى إِلَى حَيَاتِي.,not_applicable,Other
21,أَشْعُرُ بِالإِهَانَةِ فَقَطْ.,not_applicable,Other
22,لَقَدْ قَضَيْتُ الْجُزْءَ الْأَكْبَرَ مِنَ الْيَوْمِ وَالْأَمْسِ أَشْعُرُ بِالاكْتِئَابِ عَلَى الرَّغْمِ مِنْ أَنَّنِي لَا أَسْتَطِيعُ أَنْ أَضَعَ إِصْبَعِي عَلَى ذَلِكَ أَوْ أَشْرَحَهُ بِأَيِّ طَرِيقَةٍ جَيِّدَةٍ,not_applicable,Other
23,",لَمْ أَشْعُرْ حَقًّا بِمَظْهَرِ الْجِرُونْجِ غَيْرِ الرَّسْمِيِّ الَّذِي كُنْتُ أَتَأَرَّجُحُ فِيهِ مُؤْخَّرًا، وَالَّذِي أُحَاوِلُ تَشْجِيعَهُ هُوَ قَرَارٌ فَعَّالٌ بَيْنَ أُولَئِكَ الَّذِينَ يَشْعُرُونَ بِالْحَاجَةِ إِلَى الْحُصُولِ عَلَى صَخْرَةٍ لِيَكُونُوا مُخْلِصِينَ لَهَا",not_applicable,Joy
24,أَشْعُرُ وَكَأَنَّنِي وَحْشٌ قَبِيحٌ بِشَكْلٍ بَشِعٍ.,not_applicable,Other
25,أَجِد أَنَّهُ مِن الْمَثِير لِلْاِشْمِئِزَاز أَنَّنِي أَخْشَى أَنْ أَطْلُبَ أَشْيَاء لِأَنَّنِي لَا أُسْتَطِيع مِنَع نَفْسِي مِن الشَّعُور بِأَنَّهُ سَيُتَم الْحُكْم عَلَيَّ عَلَى أَنَّنِي جَشُعٌ وَنَاكِر لِلْجَمِيل وَمَادِيّ.,not_applicable,Other
26,أَشْعُرُ أَنَّ الأَمْرَ بِرُمْتِهِ عَمَلِيَّةَ احْتِيَالٍ لِأَنَّنِي لَمْ أَطْلُبْ مُطْلَقًا بِالمَزَايَا، وَأَشْعُرُ بِالإِهَانَةِ وَالْخَجْلِ لِأَنَّنِي اضْطُرُرْتُ إِلَى مُشَارَكَةِ جَمِيعِ التَّفَاصِيْلِ الشَّخْصِيَّةِ الخَاصَّةِ بِي ثُمَّ لَا أُحَصِّلُ عَلَى الْمُسَاعَدَةِ عَلَى مَا يَبْدُو لِأَسْبَابٍ تَافِهَةٍ وَغَيْرِ مَعْقُولَةٍ,not_applicable,Other
27,يُرْهِبُنِي الرُّعْبُ مِنْ الْأَمْرِ.,not_applicable,Other
28,تَذَكَّرْ أَنَّكَ تَسْتَحِقُّ كُلَّ الدَّعْمِ وَالْمُسَاعَدَةِ فِي هَذِهِ اللَّحْظَةِ الصَّعْبَةِ.,hope_speech,Other
29,قَرَأْت قِصَّة وَأَشْعُر بِالْحَاجَة إِلَى نَشْر تَعْلِيق غَاضِب عَلَى زَمِيل أَو فِي وَسَائِل الْإِعْلَام لِنَشْر قِصَّة لَا قِيمَة لَهَا وَلَيْس ل,not_applicable,Other
30,أَشْعُرُ بِالانْزِعَاجِ رُبَّمَا لِأَنَّهُ كَانَ يَأْمُرُنَا بِالتَّجَوُّلِ,not_applicable,Other
31,", أَتَصَل عِنْدَمَا أَشْعُر بِالتَّهْدِيد.",not_applicable,Joy
32,يُمْكِنُنِي شَرَاءُ شَاحِنَةٍ مِنْ ذَلِكَ وَأَكُلُهَا كُلَّمَا شَعَرْتُ بِرَغْبَةٍ فِي الْحُصُولِ عَلَى شَيْءٍ حَلْوٍ وَأَشْعُرُ أَنَّنِي يَجِبُ أَنْ أَكُونَ أَكْثَرَ دَعْمًا لَهُمْ كَمَا كَانُوا بَالنِّسْبَةِ لِي.,not_applicable,Other
33,يُخْيِفُنِي الرُّعْبُ مِنْ الْمُشَاكِلِ الْمُتَوَقَّعَةِ.,not_applicable,Other
34,أَشْعُرُ بِالْغَضَبِ فِي كُلِّ مَرَّةٍ أَسْأَلُكَ فِيهَا مُرَارًا وَتَكْرَارًا,not_applicable,Disgust
35,لَقَدْ عَدْتُ إِلَى صَوَابِي وَاعْتَقَدْتُ أَنَّهُ كَانَ عَلَيَّ أَنْ أَفْعَلَ شَيْئًا قَبْلَ أَنْ يَشْعُرَ بِيَدِي الْبَارِدَةِ تَلَامِسُ يَدَهُ,not_applicable,Disgust
36,أَشْعُرُ بِالْخُضُوعِ,not_applicable,Other
37,يُصِيبُنِي الرُّعْبُ عِنْدَ مُوَاجَهَةِ الْمُخَالَفِ.,not_applicable,Other
38,", عَادَةً مَا أَشْعُرُ أَنَّنَا أَصْبَحْنَا غَيْرَ مُحَمَّيِينَ هُنَا بِكُلِّ بَسَاطَةٍ",not_applicable,Joy
39,أَشْعُر بالتَّافِهَة أَنْ أَتَّهِمَ شَخْص مَا بِالْكَذِب.,not_applicable,Other
40,. أَشْعُرُ بِالسَّعَادَةِ حَوْلَ تَجَنُّبِ.,hope_speech,Other
41,",لَمْ أسْتَطِعْ مَنْعَ نَفْسِي مِنْ الشُّعُورِ بِبَعْضِ الشَّكِّ فِي أَنَّ كِتَابًا كَهَذَا لَمْ يُكْتَبْ مِنْ قَبْلِ مَجْمُوعَةٍ مِنَ الرِّجَالِ فِي مُنْتَصَفِ الْعُمُرِ الَّذِينَ يَكْتُبُونَ لِمَجَلَّةِ q، مُمَّا يَضَعُهُمْ فِي الْقَائِمَةِ الْحَتْمِيَّةِ لِأَسَابِيعَ الْكُمْبِيُوتَرِ النَّجْمِيَّةِ الْجَيِّدَةِ وَمَا إِلَى ذَلِكَ، لَسْتُ مُتَأَكِّدًا وَلَكِنَّ لَدَيَّ هَذَا الشُّعُورَ بِأَنَّهَا هُنَا لِلْإِشَارَةِ إِلَى الْغَضَبِ أَوْ حَتَّى شَيْءٍ أَكْثَرَ قِتَامَةً تَشْعُرُ بِهِ تَجَاهَ الْجُزْءِ الضَّعِيفِ مِنْ نَفْسِكَ",not_applicable,Other
42,تُثيرني الأصوات الخارجة عن السيطرة إشمئزازًا وتوترًا.,not_applicable,Disgust
43,تَذَكَّرْ أَنَّكَ تَسْتَحِقُّ كُلَّ الْحُبِّ وَالدَّعْمِ فِي هَذِهِ الْأَوْقَاتِ الصَّعْبَةِ.,hope_speech,Other
44,", أَشْعُرُ بنَوْعٍ مِنَ التَّرَدُّدِ وَالاِكْتِئَابِ عِنْدَمَا أَخْبَرَتْنِي أَنَّ الْأَمْرَ قَدْ انْتَهَى، لَقَدْ اَحْتَرَمْتُ قَرَارَكَ، أَشْعُرُ بِعَدَمِ الْحِمَايَةِ عِنْدَمَا أَكُونُ فِي مَكَانٍ مُسْتَوٍ",not_applicable,Other
45,أَشْعُرُ بِالْعَاطِفَةِ وَالْحَنِينِ مِثْلَ بَعْضِ الْمُؤَقِّتَاتِ الْقَدِيمَةِ,not_applicable,Other
46,أَفْهَمُ تَمَامًا كَيْفَ يُمْكِنُ أَنْ يَكُونَ الْأَمْرُ مُحْبِطًا، وَأَنَا هُنَا لِأَكُونَ دَعْمًا لَكَ.,hope_speech,Other
47,يُثيرني الإشمئزاز رؤية الأشخاص اللامبالين بالنظافة الشخصية.,hate,Disgust
48,أُرِيدُ أَنْ أَشْعُرَ بِالْإِثَارَةِ تَسْرِي فِي دَمِي مِنْ خَلَالِ دَعْمِ مَسِيرَتِي الْخَاصَّةِ. لَدَيَّ شَعُورٌ بِأَنَّهُ بِغَضِّ النَّظَرِ عَنْ مَدَى كَرَمِيٍّ فِي هَذَا الصَّوْمِ، فَإِنَّ يَسُوعَ سَيَكُونُ أَكْثَرَ كَرَمًا فِي الْمُقَابَلِ. أَعْلَمُ أَنَّنِي أَحَاوِلُ أَنْ أَجْعَلَ شَخْصًا مَا يَفْتَحُ فَصْلًا جَدِيدًا عِنْدَمَا يَبْدُو الْأَمْرُ وَكَأَنَّكُمْ جَمِيعًا تَدْعُمُونَهُ فِي كُلِّ مَا يَفْعَلُهُ.,hope_speech,Other
49,",لَمْ أَعُدْ أَحْمَرَ، إِنَّهُ شَعُوْرٌ غَرِيْبٌ",not_applicable,Joy
50,. أَشْعُرُ بِالْإِلْهَامِ لِمُشَارَكَةِ رَابِطِ عَدَدِ مَنشُورَاتِ الْفَصْلِ الدِّرَاسِيِّ href http atnelsonnest.,hope_speech,Other
51,",أشعر بالقلق أشعر بالتوتر وعدم الحب",not_applicable,Other
52,أَنَا مُسْتَمْتِعٌ بِكُلِّ مَا يُضَحِّكُنِي وَيَبْهَجُنِي.,hope_speech,Joy
53,", لَقَدْ كُنْتُ قَلْقَةً بَعْضَ الشَّيْءِ مِنْ أَنَّ الْقَصَّةَ سَتُجْعَلُهُ يَشْعُرُ بِالتَّهْدِيدِ لَكِنَّهُ يُحِبُّهَا، أَشْعُرُ بِالإِرْهَاقِ الشَّدِيدِ بِصُرَاحَةٍ",not_applicable,Other
54,يُثيرني الإشمئزاز رؤية السلوكيات الغير لائقة في الأماكن العامة.,not_applicable,Disgust
55,يَسْتَلِمُنِي الرُّعْبُ عِنْدَ النَّظَرِ إِلَى الْمَوَاقِفِ الْقَاسِيَةِ.,not_applicable,Other
56,بَدَأْتُ أَلَاحَظُ أَنَّنِي أَشْعُرُ بِالتَّوَتُّرِ وَالْغَضَبِ تَجَاهَ الْأَشْيَاءِ الصَّغِيرَةِ، أَنْظُرُ إِلَى مَسَاحَةِ الْمَعِيشَةِ الْخَاصَّةِ بِي، أَشْعُرُ بِالْخُدْرِ، أَشْعُرُ بِالْعَجْزِ,not_applicable,Other
57,أَشْعُرُ بِالتَّمْرُدِ وَأَتَمَنَّى أَنْ يَكُونَ JKR قَدْ أَطْلَقَ عَلَى تِلْكَ الْبُومَةِ اللَّعِينَةِ خَصْلَاتِ شَعْرِهَا الطَّوِيلَةِ بَدَلًا مِنَ الْقُنْفُذِ، أَشْعُرُ بِالْغَضَبِ الشَّدِيدِ وَأَكْرَهُهَا,not_applicable,Disgust
58,أَشْعُرُ وَكَأَنَّنِي شَخْصٌ جَشُعٌ يُتَيِّحُ الْمَضِيَّ قَدَمًا.,not_applicable,Other
59,أَشْعُرُ بِوَقَاحَةٍ عِنْدَمَا أُخْبِرُهُمْ أَنَّنِي لَا أُرِيدُ الإِجَابَةَ,not_applicable,Disgust
60,يُثيرني الإشمئزاز رؤية الأماكن التي يفتقر فيها إلى النظافة الأساسية.,not_applicable,Disgust
61,لَا تَشْعُرْ بِالذَّنْبِ، فَأَنْتَ تَبْذُلُ كُلَّ جُهْدِكَ فِي مُوَاجَهَةِ هَذَا التَّحَدِّي.,hope_speech,Joy
62,أَشْعُرُ بِالْغَضَبِ الْيَوْمَ بِسَبَبِ مُزَاجِي الْغَبِيِّ,not_applicable,Other
63,", لقد كنت نائمًا على الأرجح في منتصف حلم جيد أيضًا حتى شعرت باهتزاز ساقي وأريد تجنب الشعور بالتردد.",not_applicable,Joy
64,أَشْعُرُ بِالْغَضَبِ وَالْغَضَبِ الأَخْلَاقِيِّ أَكْثَرَ مِمَّا أُرِيدُ,not_applicable,Disgust
65,",أشعر بالشك تجاه تصرفات الحكومة وأشعر أنني رأيت ذلك",not_applicable,Other
66,الْفِكَاهَةُ تَجْعَلُ الْحَيَاةَ أَكْثَرَ مَتَعًا وَسُرُورًا.,hope_speech,Joy
67,", أَشْعُرُ بِالتَّوْتُّرِ بِشَأْنِ تَجْرِبَةِ شَيْءٍ جَدِيدٍ أَثْنَاءَ الدَّرْسِ أَوْ إِذَا كَانَ حِصَانِي يَخْجَلُ مِنْ شَيْءٍ أَشْعُرُ بِالْحِيَرَةِ وَالْأَلَمِ لِأَنَّنِي أَشْعُرُ بِالاِعْتِدَاءِ وَعَدَمِ الْأَمَانِ",not_applicable,Other
68,", لَقَدْ كُنْتُ هُنَاكَ مَمَّا جَعَلَنِي أَشْعُرُ بِالضُّعْفِ وَالْخَجَلِ مَمَّا جَعَلَهُمْ يَعْتَقِدُونَ أَنَّنِي مُنْعَزِلٌ مَمَّا جَعَلَهُمْ غَيْرَ مُرْتَاحِينَ لِأَنَّنِي كُنْتُ هُنَاكَ حَلْقَةً مُفْرَغَةً دَفَعَتْنَا إِلَى مَزِيدٍ مِنَ الْتَبَاعُدِ",not_applicable,Joy
69,أَبْدَأُ بِالشُّعُورِ بِالتَّوْتُرِ,not_applicable,Disgust
70,أَتَعَرَّفُ عَلَى الْحَيَاةِ كُلَّمَا شَعَرْتُ بِالْحَنَانِ.,hope_speech,Other
71,كُنْتُ أَشْعُرُ غَرِيبَ الأَطْوَارِ قَلِيلًا,not_applicable,Disgust
72,أَنَا وَاثِقٌ مِنْ قُدْرَتِي عَلَى تَحْقِيقِ أَهْدَافِي.,hope_speech,Other
73,لَا تَشْعُرْ بِالْوَحْدَةِ، أَنَا هُنَا لِأَكُونَ بِجَانِبِكَ فِي كُلِّ خُطْوَةٍ.,hope_speech,Other
74,بَدَأْتُ أَشْعُرُ بِالانْفِعَالِ مَعَ بَعْضِي الْبَعْضِ وَبَدَأْتُ أَشْعُرُ بِالانْفِعَالِ تَجَاهَ الْحَيَاةِ وَأَشْعُرُ أَنَّ التَّلاعُبَ بِالْعُمْرِ يُشْكِلُ خَطَرًا بِالنِّسْبَةِ لِي,not_applicable,Joy
75,",أُقُومُ بِإِضَافَةِ دَقِيقِ الشَّوْفَانِ إِذَا كُنْتَ جَائِعًا لِلْغَايَةِ وَلَكِنَّ فِي بَعْضِ الْأَحْيَانِ أَتَنَاوَلُ مَا يَكْفِي مِنْ الطَّعَامِ لِأَشْعُرَ بِالرِّضَا، أَشْعُرُ أَنَّ هَذَا مَقْبُولًا فَقَطْ لِأَنَّهُ مِنَ الْمُفْتَرَضِ أَنْ تَبْحَثَ عَنْ مَصْلَحَةِ طِفْلِكَ، فَهَذَا لَيْسَ رَائِعًا",not_applicable,Joy
76,. أَفْتَرِضُ أَنَّنِي أَشْعُرُ أَنَّهُ مِنَ الْمَقْبُولِ لِشَخْصٍ يَنْتَمِي إِلَى دِينٍ لَا أُؤْمِنُ بِهِ بِالضَّرُورَةِ أَنْ يُحَاوِلَ تَحْوِيلَ شَخْصٍ مَا، وَلَكِنِّي أَش,not_applicable,Other
77,",أنا متعب جدًا وأشعر بالضعف بشكل خاص",not_applicable,Other
78,يُثيرني الإشمئزاز رؤية الأشخاص الذين يتجاهلون حقوق النظافة.,not_applicable,Disgust
79,الْحُسْنُ الْمُمْتَعَةُ وَالتَّسَلُّي مَعَ النُّكْتَةِ.,not_applicable,Joy
80,أَشْعُرُ أَنَّ مِنْ وَاجِبِي مُسَاعَدَةُ المُحْتَاجِينَ.,hope_speech,Other
81,. كُنْتُ أَشْعُرُ بِالْحَمَاسِ إِلَى حَدٍّ مَا بِشَأْنِ حَفْلِ التَّخَرُّجِ الَّذِي سَيَبْدَأُ فِي السَّاعَةِ الثَّانِيَةَ عَشْرَةَ ظُهْرًا، وَأَشْعُرُ بِإِيجَابِيَّةٍ تِجَاهَ مَا أَفْعَلُ.,hope_speech,Other
82,. لَمْ أَشْعُرْ أَنَّهُ تَمَّ حَلُّ الْكَثِيرِ وَشَعَرْتُ بِخَيْبَةِ أَمَلٍ قَلِيلًا بِسَبَبِ هَذَا.,not_applicable,Other
83,يَخِفُّ قَلْبِي مِنْ صَوْتِ الرَّعْدِ الْعَالِي.,not_applicable,Other
84,", كُنْتُ أَشْعُرُ بِالْقَلَقِ إِلَى حَدٍّ مَا بِشَأْنِ السَّفَرِ إِلَى هُنَا بِمُفْرَدِي لِأَنَّنِي لَمْ أَسَافِرْ بِمُفْرَدِي مُطْلَقًا وَكُنْتُ قَلِقًا بِشَأْنِ قَدْرَتِي عَلَى مُتَابَعَةِ جَمِيعِ مُسْتَنْدَاتِي الْمُهِمَّةِ بِالْإِضَافَةِ إِلَى تَرْتِيبَاتِ السَّفَرِ الْمُخْتَلِفَةِ",not_applicable,Joy
85,",أَشْعُرُ بِالِاهْتِزَازِ قَلِيلًا وَالْإِثَارَةِ بِسَبَبِ كُلِّ هَذِهِ الْحُلْوَيَّاتِ اللَّذِيذَةِ",not_applicable,Joy
86,أشعر بالسوء تجاه ما يحدث.,not_applicable,Other
87,لَقَدْ كُنْتُ مَرِيضًا لِمُدَّةٍ أَسَابِيعَ تَقْرِيبًا فِي نِهَايَةِ نَوْفَمْبِر وَأَوَائِلَ دِيسَمْبَر، وَلِهَذَا السَّبَبِ أَشْعُرُ أَنَّ الأَسَابِيعَ القَلِيلَةَ الْمَاضِيَةَ كَانَتْ أَكْثَرَ اندِفَاعًا,not_applicable,Other
88,لَا تَتَرَدَّدْ فِي أَنْ تَشْعُرَ بِالْحُزْنِ، أَنَا هُنَا لِأُسَاعِدَكَ فِي تَجَاوُزِهِ.,hope_speech,Joy
89,", لا أقصد العائلَة والأصدِقاء لأنّهم إمّا سَيَكُونونَ مُتَفائِلين بِشَكْلٍ أَعْمَى أَوْ يَشْعُرونَ بالتَّهْدِيد وَيُحاوِلونَ ثَنِيهِمْ",not_applicable,Other
90,أَشْعُرُ بِالتَّمَرُّدِ تَمَامًا وَأَمْضِيتُ أَيْضًا سَاعَاتٍ فِي مُلَأِ أَوْرَاقِ الِاسْتِئْنَافِ الْخَاصَّةِ بِالضَّمَانِ الاجْتِمَاعِيِّ، وَكَانَ لَدَيَّ شَعْورٌ غَرِيبٌ بِأَنَّهُ إِذَا قَمْتُ بِالتَّبْدِيلِ، فَرُبَّمَا كُنْتُ سَأَكْرَهُ الجِهَازَ الجَدِيدَ وَتَمَنَّيْتُ أَنْ أَتَمَكَّنَ مِنَ الْعَوْدِ إِلَى الأَصْلِ وَهُوَ الأَمْرُ الَّذِي كَانَ مُسْتَحِيلًا,not_applicable,Disgust
91,أَشْعُرُ بِالتَّوَتُّرِ وَيَجِبُ أَنْ أَتَعَلَّمَ الكَثِيرَ وَلَا أَسْتَطِيعُ أَنْ أُعْطِيَ مُدَوَّنَتِي وَأَبْدُوَ فِي الوَقْتِ الَّذِي كُنْتُ أَتَمَنَّى لَوْ لَمْ أَفْكَرْ فِيهِ أَبَدًا وَلَكِنْ عِنْدَمَا انْطَلَقَ جُونَ مِنْ شَارِعِ سَانْتَا مُونِيكَا وَتَوْجَهَ بِالسَّيَّارَةِ عَبْرَ كُشْكِ وُقُوفِ السَّيَّارَاتِ وَأَعْلَى الطَّرِيقِ الَّمِنْحَدَرِ نَحْوَ مُوَقَّفِ السَّيَّارَاتِ الخَاصِّ لَا يَسْعُنِي إِلَّا أَنْ أَشْعُرَ بِخَيْبَةِ أَمَلٍ قَلِيلًا,not_applicable,Other
92,إِهْمَالِ.,not_applicable,Other
93,أَحْيَانًا أُخَصِّصُ وَقْتًا لِقَوْلِ تَعَوُّذَةٍ عِنْدَمَا أَشْعُرُ بِالغَضَبِ وَأَشْعُرُ أَنَّ هَذِهِ الْمُشْكَلَةَ خَطِيرَةٌ بِشَكْلٍ خَاصٍّ عَلَى الْمُنَظِّمَةِ الْوَطَنِيَّةِ الْمَالِيَّةِ الْمَتَّحِدَةِ (UMNO),not_applicable,Disgust
94,لَقَدْ أُعْطِيتُ ثَلَاثَ نُجُومٍ عَلَى مَوْقِعِ Goodreads وَأُشْعِرُ أَنَّ ذَلِكَ كَانَ سَخِيًّا إِلَى,not_applicable,Other
95,أَشْعُرُ بِالتَّوْتُرِ سَيَكُونُ بَخْسًا.,not_applicable,Disgust
96,أَنَا هُنَا لِأَنَّنِي أَرْغَبُ فِي أَنْ تَشْعُرَ بِالْأَمَانِ وَالِاطْمِئْنَانِ.,hope_speech,Other
